model,scheme,bin,n,median_gt_px,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
distill_p2_ensemble_uniform,decile,D6,18,11957.5,0.824263581213744,0.7872074175857047,0.7173758552988798,0.8916489797294405,1,0.05555555555555555,0
distill_p2_ensemble_uniform,decile,D7,18,13841.0,0.7876742979222069,0.7296378701582529,0.6553703237829717,0.8703905900310543,0,0.0,0
distill_p2_ensemble_uniform,decile,D8,19,15506.0,0.8340760700590735,0.7696615887229267,0.7150802967980665,0.892666864821513,0,0.0,0
distill_p2_ensemble_uniform,decile,D9,18,19152.0,0.8494818326291329,0.7892579545063731,0.727121679606315,0.9078933564957781,0,0.0,0
distill_p3_adaptive,quintile,Q1,37,4884.0,0.8332266734928965,0.7704215334899968,0.8276335472988355,0.7419221013274736,1,0.02702702702702703,0
distill_p3_adaptive,quintile,Q2,37,7671.0,0.81752709160665,0.7911497763905837,0.7657631909651117,0.8319477658051239,0,0.0,0
distill_p3_adaptive,quintile,Q3,37,11324.0,0.8340364495443807,0.795712023233526,0.7384761011402039,0.8870331058879617,1,0.02702702702702703,0
distill_p3_adaptive,quintile,Q4,37,14382.0,0.819517518219728,0.7801897800108614,0.7233363946831606,0.8832464322998563,0,0.0,0
distill_p3_adaptive,quintile,Q5,37,21744.0,0.7581095635348022,0.7367467339014556,0.6564458664645135,0.8952387249219338,0,0.0,0
distill_p3_adaptive,absolute,10-20k,81,13751.0,0.8224563457223686,0.7854958100584263,0.7307387948463676,0.8808260341499062,1,0.012345679012345678,0
distill_p3_adaptive,absolute,2-5k,17,4132.0,0.8332266734928965,0.7851801895305038,0.8661525722613328,0.730522861679082,0,0.0,0
distill_p3_adaptive,absolute,5-10k,58,6750.0,0.8321944153588106,0.7991034264043146,0.7961896105380802,0.8203813096279751,0,0.0,0
distill_p3_adaptive,absolute,<2k,2,986.0,0.29009433962264153,0.29009433962264153,0.21391304347826084,0.4505494505494506,1,0.5,0
distill_p3_adaptive,absolute,>20k,27,23968.0,0.739147684520145,0.7201749293530015,0.6225918189353316,0.9114203164725434,0,0.0,0
distill_p3_adaptive,decile,D1,19,4071.0,0.803982683982684,0.7330658895402026,0.7974957797578516,0.7010519762970155,1,0.05263157894736842,0
distill_p3_adaptive,decile,D10,19,31415.0,0.7177399192828315,0.6794280322139915,0.5589187859751692,0.9195938905736422,0,0.0,0
distill_p3_adaptive,decile,D2,18,5445.5,0.8432221600975432,0.8098524909925573,0.8594456352587634,0.7850627888596236,0,0.0,0
distill_p3_adaptive,decile,D3,19,6686.0,0.830723729993041,0.7604980621312574,0.7633623473688568,0.7673454897508145,0,0.0,0
distill_p3_adaptive,decile,D4,18,8665.5,0.8087369694961029,0.8235043636643171,0.7682974147611585,0.9001390571957839,0,0.0,0
distill_p3_adaptive,decile,D5,19,10622.0,0.8202018089611544,0.791356085460463,0.7394395961998419,0.8792172027255686,0,0.0,0
distill_p3_adaptive,decile,D6,18,11957.5,0.8399246407121719,0.8003099575495372,0.7374590785772528,0.8952832258927097,1,0.05555555555555555,0
distill_p3_adaptive,decile,D7,18,13841.0,0.8121745060083575,0.7624438816423554,0.7058742680019908,0.8608487836563261,0,0.0,0
distill_p3_adaptive,decile,D8,19,15506.0,0.8529727533876912,0.7970016837283934,0.7398794620653216,0.904465257330569,0,0.0,0
distill_p3_adaptive,decile,D9,18,19152.0,0.822045058123347,0.7972498079048899,0.7593911180921551,0.8695304945117974,0,0.0,0
distill_p3_adaptive_boundary,quintile,Q1,37,4884.0,0.8221336874723328,0.7380167475359958,0.7596346967084097,0.7654562916566415,1,0.02702702702702703,0
distill_p3_adaptive_boundary,quintile,Q2,37,7671.0,0.8176762181114738,0.7712982545796248,0.7238030174933796,0.8445437036227332,0,0.0,0
distill_p3_adaptive_boundary,quintile,Q3,37,11324.0,0.8454455305284034,0.778499454129734,0.7242956190481226,0.8920427423593228,0,0.0,0
distill_p3_adaptive_boundary,quintile,Q4,37,14382.0,0.8385865958858659,0.7713253230506563,0.7180360623883834,0.8878597953531034,0,0.0,0
distill_p3_adaptive_boundary,quintile,Q5,37,21744.0,0.7987677471202786,0.7750740445600306,0.7125075053927279,0.8976802559274352,0,0.0,0
distill_p3_adaptive_boundary,absolute,10-20k,81,13751.0,0.8395253566887979,0.7756434113972357,0.7257156168717076,0.8857542484106385,0,0.0,0
distill_p3_adaptive_boundary,absolute,2-5k,17,4132.0,0.8412987960598322,0.7356900881073248,0.7688250198875051,0.7199342164657914,0,0.0,0
distill_p3_adaptive_boundary,absolute,5-10k,58,6750.0,0.8172117866601838,0.788435308409875,0.7593920671191347,0.8442724138500375,0,0.0,0
distill_p3_adaptive_boundary,absolute,<2k,2,986.0,0.00346620450606585,0.00346620450606585,0.0017391304347826,0.5,1,0.5,0
distill_p3_adaptive_boundary,absolute,>20k,27,23968.0,0.7987677471202786,0.7702179024032607,0.693149514061947,0.9143624957603477,0,0.0,0
distill_p3_adaptive_boundary,decile,D1,19,4071.0,0.8221336874723328,0.6586138898335081,0.6880791367872184,0.6967832463114975,1,0.05263157894736842,0
distill_p3_adaptive_boundary,decile,D10,19,31415.0,0.7613355173735754,0.7365087777202952,0.6443822745013845,0.9165539074479625,0,0.0,0
distill_p3_adaptive_boundary,decile,D2,18,5445.5,0.8301382647233646,0.821830875110844,0.8351655655141116,0.8379445061876271,0,0.0,0
