model,mean_dice,median_dice,iqr_dice,zero_dice_n,zero_dice_rate,empty_pred_n,recall_all,recall_smallQ1,recall_smallD1,zero_dice_n_Q1,median_dice_Q1,median_dice_Q5,dice_drop_Q1_vs_Q5
distill_p2_ensemble_uniform,0.7614730219604802,0.813945766463752,0.18954628866677015,2,0.010810810810810811,0,0.7146452229270024,0.769452783302778,0.7570972236204045,1,0.8319088319088319,0.7873830179657081,0.044525813943123826
distill_p3_adaptive_group,0.7585841363527742,0.8047451669595782,0.1849285884552906,2,0.010810810810810811,1,0.7099193854165037,0.7677602280628769,0.7387730541687327,2,0.8278001148765077,0.7455050512030293,0.08229506367347839
distill_x_angular_b5_to_b0,0.7418187732569852,0.8043323922267902,0.23046094460754962,2,0.010810810810810811,1,0.6788361745478066,0.7098769669847272,0.7034191216092538,1,0.8114909252867164,0.8043323922267902,0.007158533059926198
distill_p3_adaptive_full,0.7515250919573535,0.7984382130723594,0.1518025544732654,3,0.016216216216216217,2,0.6995671469605808,0.6876159144592472,0.6416777745231217,3,0.7868208596988872,0.8105154904229336,-0.023694630724046428
distill_segformer_b5__seed42,0.7527467818268773,0.8124393723252497,0.1652000577432221,3,0.016216216216216217,0,0.6973914363106187,0.7641187693784389,0.811327990686872,1,0.8450188476036619,0.7811095415435984,0.06390930606006351
lraspp_mobilenetv3_distilled,0.7199779803092178,0.7835990888382688,0.2281195573414807,3,0.016216216216216217,2,0.6832856722326234,0.6786577332825072,0.6699460149498876,1,0.7997981157469717,0.7869170231187729,0.01288109262819881
ppmobileseg_tiny_b2kd,0.6758656100497099,0.7077697090512127,0.2337921271413983,4,0.021621621621621623,3,0.631831829925504,0.6844739766708,0.7214109375304089,1,0.729948619698685,0.6954055587067498,0.03454306099193516
distill_p2_cwd_b5_to_b0,0.7736213046375027,0.823045267489712,0.15008986729311513,4,0.021621621621621623,1,0.7346197177612811,0.7718615708266766,0.7165982540714001,3,0.8370023419203747,0.7846583904005078,0.05234395151986693
ppmobileseg_tiny,0.6568183615652969,0.7157607916248386,0.25924632809417825,4,0.021621621621621623,3,0.6583251459890032,0.7118844812282419,0.6948004288083289,1,0.7227094042939219,0.6973407657863474,0.025368638507574537
ppmobileseg_tiny_distilled,0.6891336426271606,0.7550700280112045,0.22590828415763564,4,0.021621621621621623,3,0.6705828006807754,0.7080330991581342,0.7001810736612203,1,0.7329095861979504,0.7555009115190571,-0.022591325321106637
deeplabv3plus_r50,0.7583768558852945,0.8183441196161572,0.15253912439371187,5,0.02702702702702703,4,0.7093539701147743,0.7303187911630965,0.7023106160547826,3,0.827645788336933,0.804676036130042,0.022969752206891014
yolo_sem_distilled,0.7260703223271405,0.8011545122185877,0.24036930542882984,5,0.02702702702702703,4,0.6777021235548835,0.7248056371221635,0.6370705003270306,3,0.8083802747307046,0.6744511613108495,0.13392911341985514
fastscnn_rgkd,0.6417204511263176,0.694188051526524,0.2873105298070696,6,0.032432432432432434,1,0.6134937749966201,0.6612227775942499,0.5306618411039623,4,0.694188051526524,0.651355583530351,0.04283246799617302
fastscnn_b2kd,0.6504153810601941,0.7036633528530574,0.27660416739838845,6,0.032432432432432434,2,0.6416405081139791,0.6714725483741834,0.5774517152798938,1,0.7010412494993993,0.657283221314687,0.043758028184712305
ppmobileseg_tiny_rgkd,0.6781858246008604,0.7329012069736254,0.21244500366470265,7,0.03783783783783784,5,0.6566035988862814,0.594129274497916,0.5710935938437088,4,0.696114415896722,0.7402568644818424,-0.0441424485851204
unet_r50,0.7570133121939514,0.8328752309286712,0.1847055176173945,7,0.03783783783783784,7,0.7397248380443511,0.7347802029502749,0.6612455735829312,3,0.8526713437668646,0.7956674336982544,0.057003910068610164
fastscnn_distilled,0.6161411856056501,0.6846527504266772,0.34073319717135503,8,0.043243243243243246,6,0.576520646986127,0.5538941694104389,0.42617235347114624,6,0.6743096646942801,0.6443362435639132,0.02997342113036694
yolo_sem_direct,0.7021261834301191,0.8060514666536946,0.26091792412209125,12,0.06486486486486487,12,0.6697391876238268,0.5582019886377824,0.4720019492852875,8,0.7086648032681144,0.779649020546662,-0.07098421727854753
fastscnn,0.6053444956203337,0.6866198663247719,0.3444720144212729,13,0.07027027027027027,8,0.5753828592754308,0.4806619669752424,0.34051431638702995,7,0.5562491330281593,0.6644785083278048,-0.10822937529964549
