path,model,status,split,cohort,n_rows,alias_of,reason
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__medsam_ft__seed1.csv,medsam_ft__seed1,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__medsam_ft__seed1.csv,medsam_ft__seed1#c827,ok,val,val:c827901ce6,134,,name collision; renamed to medsam_ft__seed1#c827
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__medsam_ft__seed2.csv,medsam_ft__seed2,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__medsam_ft__seed2.csv,medsam_ft__seed2#c827,ok,val,val:c827901ce6,134,,name collision; renamed to medsam_ft__seed2#c827
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__medsiglip_g28.csv,medsiglip_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/FOUNDATION_RESULTS/val_per_image__medsiglip_probe.csv,medsiglip_probe,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__pixel_g20.csv,pixel_g20,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__pixel_g28.csv,pixel_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__pixel_g37.csv,pixel_g37,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__pixel_g40.csv,pixel_g40,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_ppmobileseg_tiny.csv,ppmobileseg_tiny,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_ppmobileseg_tiny.csv,ppmobileseg_tiny#e981,ok,test,REFERENCE,185,,name collision; renamed to ppmobileseg_tiny#e981
/scratch/tbommawa/bruise_work/outputs/per_image_ppmobileseg_tiny_b2kd.csv,ppmobileseg_tiny_b2kd,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_ppmobileseg_tiny_distilled.csv,ppmobileseg_tiny_distilled,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_ppmobileseg_tiny_rgkd.csv,ppmobileseg_tiny_rgkd,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/FOUNDATION_RESULTS/val_per_image__resnet50_probe.csv,resnet50_probe,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_g28.csv,rn50_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_l3_g20.csv,rn50_l3_g20,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_l3_g28.csv,rn50_l3_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_l3_g37.csv,rn50_l3_g37,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_l3_g40.csv,rn50_l3_g40,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__rn50_l4_g20.csv,rn50_l4_g20,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__sam_ft__seed0.csv,sam_ft__seed0,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__sam_ft__seed0.csv,sam_ft__seed0#c827,ok,val,val:c827901ce6,134,,name collision; renamed to sam_ft__seed0#c827
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__sam_ft__seed1.csv,sam_ft__seed1,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__sam_ft__seed1.csv,sam_ft__seed1#c827,ok,val,val:c827901ce6,134,,name collision; renamed to sam_ft__seed1#c827
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__sam_ft__seed2.csv,sam_ft__seed2,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__sam_ft__seed2.csv,sam_ft__seed2#c827,ok,val,val:c827901ce6,134,,name collision; renamed to sam_ft__seed2#c827
/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b0_direct.csv,segformer_b0_direct,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b0_distilled.csv,segformer_b0_distilled,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_segformer_b0_rgkd.csv,segformer_b0_rgkd,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b2_teacher.csv,segformer_b2_teacher,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_topformer_tiny.csv,topformer_tiny,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny.csv,topformer_tiny#e981,ok,test,REFERENCE,185,,name collision; renamed to topformer_tiny#e981
/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_b2kd.csv,topformer_tiny_b2kd,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_distilled.csv,topformer_tiny_distilled,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_rgkd.csv,topformer_tiny_rgkd,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_unet_r50.csv,unet_r50,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_yolo_sem_direct.csv,yolo_sem_direct,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_yolo_sem_distilled.csv,yolo_sem_distilled,ok,test,REFERENCE,185,,
