model,stratum,skin_tone_category,n_subjects,g_n,g_mean_dice,g_median_dice,g_iqr_dice,g_mean_recall,g_mean_precision,g_zero_dice_n,g_zero_dice_rate,g_empty_pred_n,g_wrong_place_n
dinov2_g28,D5_D10,Brown (V),3,5,0.7312272873417204,0.7563258739213106,0.10467614659385904,0.7160433736426729,0.7936216687820556,0,0.0,0,0
dinov2_g28,D5_D10,Dark (VI),7,15,0.689384411883483,0.7356468023255814,0.12344295408656192,0.7018321776623344,0.7758505422343621,0,0.0,0,0
dinov2_probe,all,Light (II-III),7,31,0.5969851280637791,0.6139810824424917,0.360353244985799,0.8017927539850261,0.5214012315543606,0,0.0,0,0
dinov2_probe,all,Intermediate (III-IV),12,46,0.7275387916365411,0.7733411404220443,0.24619056183202548,0.8793283231213095,0.6657093236846816,0,0.0,0,0
dinov2_probe,all,Tan (IV),11,21,0.6446576209323382,0.6547630089973101,0.3595643545423157,0.8348865611761911,0.557415684652534,1,0.047619047619047616,0,1
dinov2_probe,all,Brown (V),4,7,0.678321363967956,0.73717437533227,0.18286687929256307,0.8120003791384328,0.6212569819825379,0,0.0,0,0
dinov2_probe,all,Dark (VI),8,28,0.6337161455460051,0.6702636738423304,0.32730110140701146,0.8132700609942022,0.5769445351370012,0,0.0,0,0
dinov2_probe,D1_D4,Light (II-III),4,15,0.583625292504203,0.5294018106438785,0.15983368982861246,0.9032647288842526,0.447213639924663,0,0.0,0,0
dinov2_probe,D1_D4,Intermediate (III-IV),5,14,0.6674031176637473,0.6385585025844072,0.17299433803195108,0.9495883246296841,0.5379810447737154,0,0.0,0,0
dinov2_probe,D1_D4,Tan (IV),6,9,0.5036879913921177,0.467868618350589,0.19334070308100798,0.8025925783148489,0.37981061108566055,1,0.1111111111111111,0,1
dinov2_probe,D1_D4,Brown (V),1,2,0.5136846944833049,0.5136846944833049,0.02075279289298282,0.8273132112815438,0.38930794063665153,0,0.0,0,0
dinov2_probe,D1_D4,Dark (VI),2,13,0.5557737591447076,0.4744411527067061,0.39470113592595313,0.8303391199584306,0.46373242456648145,0,0.0,0,0
dinov2_probe,D5_D10,Light (II-III),7,16,0.6095099739008818,0.7241607864555709,0.46505236294363783,0.7066627775170015,0.5909520987072021,0,0.0,0,0
dinov2_probe,D5_D10,Intermediate (III-IV),11,32,0.7538481489996387,0.8178255707097919,0.22488855724498025,0.8485895724613955,0.7215904457082292,0,0.0,0,0
dinov2_probe,D5_D10,Tan (IV),8,12,0.7503848430875036,0.7862923477808588,0.21274706353715023,0.8591070483221978,0.6906194898276891,0,0.0,0,0
dinov2_probe,D5_D10,Brown (V),3,5,0.7441760317618165,0.7557737966760198,0.023760235526697815,0.8058752462811883,0.7140365985208925,0,0.0,0,0
