model,bin,median_gt_px,s_n,s_mean_dice,s_median_dice,s_iqr_dice,s_mean_recall,s_mean_precision,s_zero_dice_n,s_zero_dice_rate,s_empty_pred_n,s_wrong_place_n
dermlip_ft__seed0#c827,D5,8686.0,13,0.7164071648514747,0.749006861682918,0.1356530018470381,0.7893338664563827,0.6674533608766111,0,0.0,0,0
dermlip_ft__seed0#c827,D6,10388.0,13,0.7088597171640968,0.7261476238624873,0.16581817523197706,0.7924548394345121,0.6627486771963338,0,0.0,0,0
dermlip_ft__seed0#c827,D7,12305.5,14,0.7625257255499834,0.795675396608575,0.08290104749529337,0.8079853328810778,0.7425990352604276,0,0.0,0,0
dermlip_ft__seed0#c827,D8,15677.0,13,0.7460838601307641,0.7669074909011896,0.23456987543828423,0.8296307913878636,0.7153537628412875,0,0.0,0,0
dermlip_ft__seed0#c827,D9,22504.0,13,0.8100981005827432,0.8369602228757158,0.10220232958799469,0.8700045964959343,0.7861760745267975,0,0.0,0,0
dermlip_ft__seed0#c827,D10,38879.0,14,0.8228320341289252,0.8473925998690233,0.09201612965832762,0.8063943249911957,0.8796009236004194,0,0.0,0,0
dermlip_g28,D1,4317.5,14,0.4993690345117434,0.5484569987201791,0.29285994249290825,0.7914674443925367,0.4326352164340252,1,0.07142857142857142,0,1
dermlip_g28,D2,5916.0,13,0.4911233413194908,0.4632405996953419,0.315035896295178,0.7136632461983138,0.44606061956041343,0,0.0,0,0
dermlip_g28,D3,6914.0,13,0.5585725140289735,0.602279857770341,0.3214104007831808,0.8242118109151829,0.44460937866076117,0,0.0,0,0
dermlip_g28,D4,7402.0,14,0.35452132091046673,0.37123252625810566,0.2654526377618291,0.5351140669776879,0.29757012055290033,1,0.07142857142857142,0,1
dermlip_g28,D5,8686.0,13,0.5057326999497678,0.5980047161255215,0.3357834458910297,0.6786815153936719,0.42150405820811676,0,0.0,0,0
dermlip_g28,D6,10388.0,13,0.5372599361043393,0.5857209452433033,0.13094880055453295,0.6934512997241803,0.4702960954091723,0,0.0,0,0
dermlip_g28,D7,12305.5,14,0.5518876207659158,0.5690474146585809,0.23129227139708153,0.7401049181119308,0.48874010527839634,1,0.07142857142857142,0,1
dermlip_g28,D8,15677.0,13,0.6339699153129945,0.6488571119055357,0.07443288045738428,0.812668728954499,0.5490268453103693,0,0.0,0,0
dermlip_g28,D9,22504.0,13,0.762868972070269,0.7927847678432246,0.09846097213286653,0.8637198055601133,0.697435636545069,0,0.0,0,0
dermlip_g28,D10,38879.0,14,0.8300978175285423,0.8732140550992997,0.08107391089936411,0.8196518749685044,0.8618229251645273,0,0.0,0,0
dinov2_ft__seed0,D1,4071.0,19,0.7578794009499502,0.770594217637658,0.17681912294907087,0.7861324919178556,0.7825251517900366,0,0.0,0,0
dinov2_ft__seed0,D2,5445.5,18,0.8332512249328022,0.8452267461185653,0.09799217107364488,0.8121747446961928,0.875577841158949,0,0.0,0,0
dinov2_ft__seed0,D3,6686.0,19,0.7201583979198245,0.829842032967033,0.31335500859662146,0.7337367027041697,0.7389047860116054,0,0.0,0,0
dinov2_ft__seed0,D4,8665.5,18,0.7955569124293211,0.8456139414669606,0.1954353393374887,0.7770528827504869,0.8420971349557794,0,0.0,0,0
dinov2_ft__seed0,D5,10622.0,19,0.8105898968240495,0.8600010003501225,0.18177843679185834,0.7812464053099454,0.878275586558063,0,0.0,0,0
dinov2_ft__seed0,D6,11957.5,18,0.8272716025748088,0.8402141393386131,0.12499586029606147,0.8198157863091596,0.8592253895278339,0,0.0,0,0
dinov2_ft__seed0,D7,13841.0,18,0.743377224320676,0.8058130662795061,0.21944290082256135,0.6895401171503519,0.8740480114886814,0,0.0,0,0
dinov2_ft__seed0,D8,15506.0,19,0.8421457074877094,0.8734000294247463,0.08856966657712484,0.8136479498491821,0.8860665904228344,0,0.0,0,0
dinov2_ft__seed0,D9,19152.0,18,0.8234986132457393,0.8395144920515425,0.1066697017366306,0.8197586621372411,0.8571484550029134,0,0.0,0,0
dinov2_ft__seed0,D10,31415.0,19,0.7516692299023489,0.7579519543036138,0.11067027746139102,0.6857526592977795,0.8825486746792567,0,0.0,0,0
dinov2_ft__seed0#c827,D1,4317.5,14,0.661677576779253,0.7288341439980784,0.21645013566662374,0.8770105787461049,0.5890921268636742,2,0.14285714285714285,0,2
dinov2_ft__seed0#c827,D2,5916.0,13,0.8365081615907523,0.8776158293298592,0.1524046224595076,0.9063708833333833,0.7936360332388204,0,0.0,0,0
dinov2_ft__seed0#c827,D3,6914.0,13,0.7959774335933345,0.7929682217714672,0.14274906858454617,0.8398075579065373,0.7775633369565514,0,0.0,0,0
dinov2_ft__seed0#c827,D4,7402.0,14,0.7416484313801234,0.7478868639545421,0.26841542173722577,0.8277745696630111,0.708612262575446,0,0.0,0,0
dinov2_ft__seed0#c827,D5,8686.0,13,0.7179023869689266,0.8190664687448458,0.37730381823813597,0.7724315011261378,0.6837642977129404,0,0.0,0,0
dinov2_ft__seed0#c827,D6,10388.0,13,0.7669918855636925,0.8192660550458716,0.11425667041881549,0.8118017930446716,0.7547909008500363,0,0.0,0,0
dinov2_ft__seed0#c827,D7,12305.5,14,0.8205338742016882,0.8141790503224129,0.10928245303558237,0.7795730614135301,0.8822963968037228,0,0.0,0,0
dinov2_ft__seed0#c827,D8,15677.0,13,0.788349611748418,0.8621144589053307,0.22911332806020834,0.8408025046998888,0.7841145758806812,0,0.0,0,0
dinov2_ft__seed0#c827,D9,22504.0,13,0.8490517707041404,0.8852102310301427,0.07989413457908212,0.8872575184122701,0.8391666741583597,0,0.0,0,0
dinov2_ft__seed0#c827,D10,38879.0,14,0.8500110593804605,0.9077670180825717,0.030013537321674444,0.8241939029160944,0.9238769586990943,0,0.0,0,0
dinov2_g28,D1,4317.5,14,0.5549851644397025,0.6651874467685823,0.187277444730515,0.8485013845902232,0.5165013447988138,2,0.14285714285714285,1,1
dinov2_g28,D2,5916.0,13,0.6415398669256276,0.6450844682592841,0.19225414714548494,0.8454700064678996,0.5418225778097578,0,0.0,0,0
dinov2_g28,D3,6914.0,13,0.7152059811001289,0.7112582074414135,0.2978792784994688,0.9280022462746218,0.6153752740614324,0,0.0,0,0
dinov2_g28,D4,7402.0,14,0.5410666663419113,0.543760252405178,0.20931022073119637,0.6814904710851097,0.49795501404017806,0,0.0,0,0
dinov2_g28,D5,8686.0,13,0.6003007887135158,0.7682707562136436,0.5072625497821729,0.6458369894790253,0.5976602353149468,0,0.0,0,0
