model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
p3_adaptive_full,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p3_adaptive_full,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
p3_adaptive_full,Light (II-III),9,39,3,2,1,0.07692307692307693,0.05128205128205128,0.02564102564102564
p3_adaptive_full,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p3_adaptive_full,Brown (V),12,29,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
p3_adaptive_hard,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,Brown (V),12,29,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
p2_cwd_b5_to_b0,Light (II-III),9,39,3,1,2,0.07692307692307693,0.02564102564102564,0.05128205128205128
p2_cwd_b5_to_b0,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,Brown (V),12,29,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,Light (II-III),9,39,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,Brown (V),12,29,1,1,0,0.034482758620689655,0.034482758620689655,0.0
p2_ensemble_uniform,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
p2_ensemble_uniform,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
p2_ensemble_uniform,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,Brown (V),12,29,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
expA_b5_to_b0_response,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,Brown (V),12,29,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
x_angular_b5_to_b0,Light (II-III),9,39,1,1,0,0.02564102564102564,0.02564102564102564,0.0
x_angular_b5_to_b0,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,Brown (V),12,29,0,0,0,0.0,0.0,0.0
fastscnn_distilled,Intermediate (III-IV),17,38,1,1,0,0.02631578947368421,0.02631578947368421,0.0
fastscnn_distilled,Dark (VI),15,55,2,1,1,0.03636363636363636,0.01818181818181818,0.01818181818181818
fastscnn_distilled,Light (II-III),9,39,7,5,2,0.1794871794871795,0.1282051282051282,0.05128205128205128
fastscnn_distilled,Tan (IV),15,24,2,1,1,0.08333333333333333,0.041666666666666664,0.041666666666666664
fastscnn_distilled,Brown (V),12,29,1,0,1,0.034482758620689655,0.0,0.034482758620689655
fastscnn_rgkd,Intermediate (III-IV),17,38,1,1,0,0.02631578947368421,0.02631578947368421,0.0
fastscnn_rgkd,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
fastscnn_rgkd,Light (II-III),9,39,3,0,3,0.07692307692307693,0.0,0.07692307692307693
fastscnn_rgkd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,Brown (V),12,29,1,0,1,0.034482758620689655,0.0,0.034482758620689655
lraspp_mobilenetv3_rgkd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,Light (II-III),9,39,2,1,1,0.05128205128205128,0.02564102564102564,0.02564102564102564
