model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
unet_r50,D1_D4,Light (II-III),mean_recall,23,7,0.5364755262849895,5185.0,0.19692429416040919,0.7401803793202073
unet_r50,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8071805931936249,6059.0,0.612646390185957,0.9316297057317156
unet_r50,D1_D4,Tan (IV),mean_recall,8,4,0.7242873959554355,5837.5,,
unet_r50,D1_D4,Brown (V),mean_recall,12,3,0.7737259564962908,5963.0,,
unet_r50,D1_D4,Dark (VI),mean_recall,18,8,0.8486497511896683,7516.5,0.7694092744135215,0.9062352676896135
unet_r50,D5_D10,Light (II-III),mean_recall,16,6,0.6564826145188547,11510.5,0.5033569501251457,0.8913418983478434
unet_r50,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7988804532421016,14122.0,0.7277263844030896,0.8622861774957116
unet_r50,D5_D10,Tan (IV),mean_recall,16,13,0.7648820694456651,16700.0,0.6504552016184764,0.8639336234008494
unet_r50,D5_D10,Brown (V),mean_recall,17,10,0.7956986131379882,14259.0,0.7107298481961504,0.8467825083209289
unet_r50,D5_D10,Dark (VI),mean_recall,37,12,0.7411184150618758,16533.0,0.6344595197627741,0.8281747291542577
deeplabv3plus_r50,all,Light (II-III),mean_recall,39,9,0.5892895936295888,8085.0,0.40765868365798397,0.7374609975068293
deeplabv3plus_r50,all,Intermediate (III-IV),mean_recall,38,17,0.7650069177717331,12117.5,0.6662636535916866,0.8427428155746977
deeplabv3plus_r50,all,Tan (IV),mean_recall,24,15,0.6923340863222555,13550.0,0.587401023609725,0.7910195931602398
deeplabv3plus_r50,all,Brown (V),mean_recall,29,12,0.7235693098164755,10961.0,0.64487743054678,0.7727895053416969
deeplabv3plus_r50,all,Dark (VI),mean_recall,55,15,0.7559708979625727,13751.0,0.7025599137536035,0.8037361253125545
deeplabv3plus_r50,D1_D4,Light (II-III),mean_recall,23,7,0.5688408658892973,5185.0,0.3019019312665697,0.7249381676814102
deeplabv3plus_r50,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.768365723414708,6059.0,0.5987939138941589,0.8767237795503312
deeplabv3plus_r50,D1_D4,Tan (IV),mean_recall,8,4,0.7656450595711172,5837.5,,
deeplabv3plus_r50,D1_D4,Brown (V),mean_recall,12,3,0.6899621304369737,5963.0,,
deeplabv3plus_r50,D1_D4,Dark (VI),mean_recall,18,8,0.7522234979915726,7516.5,0.6922063528448389,0.8099146283276873
deeplabv3plus_r50,D5_D10,Light (II-III),mean_recall,16,6,0.6186846397562576,11510.5,0.49043981044816526,0.8076564349784915
deeplabv3plus_r50,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7632603388373863,14122.0,0.6616935275511744,0.8409325078747205
deeplabv3plus_r50,D5_D10,Tan (IV),mean_recall,16,13,0.6556785996978246,16700.0,0.5085341036588913,0.8034180567806555
deeplabv3plus_r50,D5_D10,Brown (V),mean_recall,17,10,0.747292024672594,14259.0,0.660831619165733,0.7997584761233986
deeplabv3plus_r50,D5_D10,Dark (VI),mean_recall,37,12,0.7577939574079238,16533.0,0.6852254983987862,0.8151370640641996
yolo_sem_direct,all,Light (II-III),mean_recall,39,9,0.5156777254329843,8085.0,0.295644125759038,0.7351952163010529
yolo_sem_direct,all,Intermediate (III-IV),mean_recall,38,17,0.6975824472745072,12117.5,0.5824958690547691,0.8157389515938326
yolo_sem_direct,all,Tan (IV),mean_recall,24,15,0.6667580127196039,13550.0,0.5399810053545611,0.7849275787442326
yolo_sem_direct,all,Brown (V),mean_recall,29,12,0.7353928022349584,10961.0,0.622254501343336,0.8174304077539327
yolo_sem_direct,all,Dark (VI),mean_recall,55,15,0.7264291245819274,13751.0,0.606749027578409,0.8188090752567964
yolo_sem_direct,D1_D4,Light (II-III),mean_recall,23,7,0.46222914040500873,5185.0,0.15966405779333656,0.6558393972817735
yolo_sem_direct,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.593183139436229,6059.0,0.36285121682534166,0.7986409693950821
yolo_sem_direct,D1_D4,Tan (IV),mean_recall,8,4,0.6678933256521832,5837.5,,
yolo_sem_direct,D1_D4,Brown (V),mean_recall,12,3,0.65948609953149,5963.0,,
yolo_sem_direct,D1_D4,Dark (VI),mean_recall,18,8,0.8036699242653353,7516.5,0.7164768986843753,0.8622048230713663
yolo_sem_direct,D5_D10,Light (II-III),mean_recall,16,6,0.5925100664106993,11510.5,0.40507087134424274,0.8777191148056263
yolo_sem_direct,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7518700873504116,14122.0,0.6466545996656958,0.8630615296133803
yolo_sem_direct,D5_D10,Tan (IV),mean_recall,16,13,0.6661903562533144,16700.0,0.4763075281827819,0.8447009798292594
yolo_sem_direct,D5_D10,Brown (V),mean_recall,17,10,0.788974004143289,14259.0,0.6888136380337259,0.8539252734076457
yolo_sem_direct,D5_D10,Dark (VI),mean_recall,37,12,0.6888525193305399,16533.0,0.5283978539126128,0.8190718909479922
yolo_sem_distilled,all,Light (II-III),mean_recall,39,9,0.5809648153297454,8085.0,0.3765044910664009,0.7543462401993041
yolo_sem_distilled,all,Intermediate (III-IV),mean_recall,38,17,0.762659416346385,12117.5,0.6962100851912705,0.8380266978186722
yolo_sem_distilled,all,Tan (IV),mean_recall,24,15,0.6984963728985892,13550.0,0.5796080845050315,0.80759456811982
yolo_sem_distilled,all,Brown (V),mean_recall,29,12,0.7522360593105272,10961.0,0.6672768544566954,0.8003867313720436
yolo_sem_distilled,all,Dark (VI),mean_recall,55,15,0.6392263376192598,13751.0,0.5406069420534888,0.7285254574622048
yolo_sem_distilled,D1_D4,Light (II-III),mean_recall,23,7,0.5752724811991119,5185.0,0.2901050416940659,0.7446851080548158
yolo_sem_distilled,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8368270548174432,6059.0,0.7188275976127294,0.9181943400130754
yolo_sem_distilled,D1_D4,Tan (IV),mean_recall,8,4,0.7506741610087315,5837.5,,
yolo_sem_distilled,D1_D4,Brown (V),mean_recall,12,3,0.7656763573266737,5963.0,,
yolo_sem_distilled,D1_D4,Dark (VI),mean_recall,18,8,0.7611021242669787,7516.5,0.6606912721648165,0.8444559146526044
yolo_sem_distilled,D5_D10,Light (II-III),mean_recall,16,6,0.5891475456425312,11510.5,0.42750578608891016,0.8360027892092912
yolo_sem_distilled,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7240922443414347,14122.0,0.6466398346966754,0.8072462811986677
yolo_sem_distilled,D5_D10,Tan (IV),mean_recall,16,13,0.6724074788435179,16700.0,0.5117871995847436,0.832597044635102
yolo_sem_distilled,D5_D10,Brown (V),mean_recall,17,10,0.7427487901226589,14259.0,0.622007026599109,0.8162726550602414
yolo_sem_distilled,D5_D10,Dark (VI),mean_recall,37,12,0.5799354143852344,16533.0,0.4701135068752067,0.6830910437093664
lraspp_mobilenetv3,all,Light (II-III),mean_recall,39,9,0.745731967127644,8085.0,0.6174283508464883,0.8515120496310394
lraspp_mobilenetv3,all,Intermediate (III-IV),mean_recall,38,17,0.8127433151449457,12117.5,0.7039446508598306,0.8966986488717839
lraspp_mobilenetv3,all,Tan (IV),mean_recall,24,15,0.7557712576677559,13550.0,0.679872683223143,0.8441582453137366
lraspp_mobilenetv3,all,Brown (V),mean_recall,29,12,0.785143663014206,10961.0,0.7242612601754466,0.8507041897600788
lraspp_mobilenetv3,all,Dark (VI),mean_recall,55,15,0.7377602183578441,13751.0,0.6779410319415927,0.7860668122641855
lraspp_mobilenetv3,D1_D4,Light (II-III),mean_recall,23,7,0.7867267727916516,5185.0,0.5879554067880033,0.8734461345986198
lraspp_mobilenetv3,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8087264861751987,6059.0,0.6356637851689053,0.918077596333969
lraspp_mobilenetv3,D1_D4,Tan (IV),mean_recall,8,4,0.7072120754242603,5837.5,,
lraspp_mobilenetv3,D1_D4,Brown (V),mean_recall,12,3,0.7318685669763371,5963.0,,
lraspp_mobilenetv3,D1_D4,Dark (VI),mean_recall,18,8,0.7252553802966252,7516.5,0.6077680244401392,0.8013730589108806
lraspp_mobilenetv3,D5_D10,Light (II-III),mean_recall,16,6,0.6868019339856334,11510.5,0.5959399466713399,0.8316909555094646
lraspp_mobilenetv3,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.8148320662092139,14122.0,0.6897802864263219,0.9042933866473796
lraspp_mobilenetv3,D5_D10,Tan (IV),mean_recall,16,13,0.7800508487895037,16700.0,0.6719437411094747,0.8836856717377033
lraspp_mobilenetv3,D5_D10,Brown (V),mean_recall,17,10,0.8227496131585843,14259.0,0.7336298881860417,0.8667240672669245
lraspp_mobilenetv3,D5_D10,Dark (VI),mean_recall,37,12,0.7438436530903294,16533.0,0.6771965504120517,0.8041899026061076
lraspp_mobilenetv3_b2kd,all,Light (II-III),mean_recall,39,9,0.7001423484243882,8085.0,0.5579308610693664,0.8238625429212774
lraspp_mobilenetv3_b2kd,all,Intermediate (III-IV),mean_recall,38,17,0.7836311130269744,12117.5,0.6964304169519893,0.8601339120320431
lraspp_mobilenetv3_b2kd,all,Tan (IV),mean_recall,24,15,0.6885476587657298,13550.0,0.5982577432845435,0.7877133896823685
lraspp_mobilenetv3_b2kd,all,Brown (V),mean_recall,29,12,0.679643326763726,10961.0,0.5665067831182004,0.8033419653691867
lraspp_mobilenetv3_b2kd,all,Dark (VI),mean_recall,55,15,0.6713978219838623,13751.0,0.5795213876209648,0.739512158523754
lraspp_mobilenetv3_b2kd,D1_D4,Light (II-III),mean_recall,23,7,0.7718676513691902,5185.0,0.6562499575800572,0.8651956475737237
lraspp_mobilenetv3_b2kd,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.7893912107231095,6059.0,0.6477558300882208,0.8886212519080259
lraspp_mobilenetv3_b2kd,D1_D4,Tan (IV),mean_recall,8,4,0.5899778045714833,5837.5,,
lraspp_mobilenetv3_b2kd,D1_D4,Brown (V),mean_recall,12,3,0.5249589716841302,5963.0,,
lraspp_mobilenetv3_b2kd,D1_D4,Dark (VI),mean_recall,18,8,0.5873323612747704,7516.5,0.455801118290725,0.736176432729179
lraspp_mobilenetv3_b2kd,D5_D10,Light (II-III),mean_recall,16,6,0.5970372254412349,11510.5,0.47431397037895895,0.7835432510418425
lraspp_mobilenetv3_b2kd,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7806358622249845,14122.0,0.6782892566132188,0.8677974034025547
lraspp_mobilenetv3_b2kd,D5_D10,Tan (IV),mean_recall,16,13,0.7378325858628529,16700.0,0.6459394398939716,0.8300907747307404
lraspp_mobilenetv3_b2kd,D5_D10,Brown (V),mean_recall,17,10,0.7888322832904993,14259.0,0.7039773236070548,0.8464813853464159
lraspp_mobilenetv3_b2kd,D5_D10,Dark (VI),mean_recall,37,12,0.7122945325990964,16533.0,0.6527523361756442,0.7682198234890197
lraspp_mobilenetv3_distilled,all,Light (II-III),mean_recall,39,9,0.6089195681567516,8085.0,0.4424514970196239,0.7480771127428677
lraspp_mobilenetv3_distilled,all,Intermediate (III-IV),mean_recall,38,17,0.7014722622146928,12117.5,0.6037307071793152,0.7969635154082109
lraspp_mobilenetv3_distilled,all,Tan (IV),mean_recall,24,15,0.6933894795624869,13550.0,0.5968616559202592,0.8075663204114922
lraspp_mobilenetv3_distilled,all,Brown (V),mean_recall,29,12,0.6976447241565625,10961.0,0.5589114534115135,0.8351716797330198
lraspp_mobilenetv3_distilled,all,Dark (VI),mean_recall,55,15,0.7114726496495214,13751.0,0.6353136225418988,0.7716840231827689
lraspp_mobilenetv3_distilled,D1_D4,Light (II-III),mean_recall,23,7,0.6280513439434978,5185.0,0.36892070756566075,0.7836212748560188
lraspp_mobilenetv3_distilled,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.6612343867658544,6059.0,0.4478368140740241,0.8176882388053585
lraspp_mobilenetv3_distilled,D1_D4,Tan (IV),mean_recall,8,4,0.6268329313138938,5837.5,,
lraspp_mobilenetv3_distilled,D1_D4,Brown (V),mean_recall,12,3,0.5508474459963018,5963.0,,
lraspp_mobilenetv3_distilled,D1_D4,Dark (VI),mean_recall,18,8,0.6689498371343564,7516.5,0.5634269513430086,0.785825647658206
lraspp_mobilenetv3_distilled,D5_D10,Light (II-III),mean_recall,16,6,0.581417640463304,11510.5,0.481421942817565,0.7449419336920773
lraspp_mobilenetv3_distilled,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7223959574480889,14122.0,0.6148758332627811,0.823268545604176
lraspp_mobilenetv3_distilled,D5_D10,Tan (IV),mean_recall,16,13,0.7266677536867834,16700.0,0.6115420240670186,0.8374103334415947
