model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
yolo_sem_direct,D1_D4,Light (II-III),zero_dice_rate,23,7,0.2608695652173913,5185.0,0.02631578947368421,0.6666666666666666
yolo_sem_direct,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.15384615384615385,6059.0,0.0,0.35714285714285715
yolo_sem_direct,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
yolo_sem_direct,D1_D4,Brown (V),zero_dice_rate,12,3,0.16666666666666666,5963.0,,
yolo_sem_direct,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
yolo_sem_direct,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
yolo_sem_direct,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
yolo_sem_direct,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
yolo_sem_direct,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
yolo_sem_direct,D5_D10,Dark (VI),zero_dice_rate,37,12,0.05405405405405406,16533.0,0.0,0.14285714285714285
yolo_sem_distilled,all,Light (II-III),zero_dice_rate,39,9,0.10256410256410256,8085.0,0.01250000000000029,0.2857142857142857
yolo_sem_distilled,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
yolo_sem_distilled,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
yolo_sem_distilled,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
yolo_sem_distilled,all,Dark (VI),zero_dice_rate,55,15,0.01818181818181818,13751.0,0.0,0.06666666666666667
yolo_sem_distilled,D1_D4,Light (II-III),zero_dice_rate,23,7,0.17391304347826086,5185.0,0.025,0.4666666666666667
yolo_sem_distilled,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
yolo_sem_distilled,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
yolo_sem_distilled,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
yolo_sem_distilled,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
yolo_sem_distilled,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
yolo_sem_distilled,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
yolo_sem_distilled,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
yolo_sem_distilled,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
yolo_sem_distilled,D5_D10,Dark (VI),zero_dice_rate,37,12,0.02702702702702703,16533.0,0.0,0.0967741935483871
lraspp_mobilenetv3,all,Light (II-III),zero_dice_rate,39,9,0.02564102564102564,8085.0,0.0,0.125
lraspp_mobilenetv3,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
lraspp_mobilenetv3,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
lraspp_mobilenetv3,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
lraspp_mobilenetv3,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
lraspp_mobilenetv3,D1_D4,Light (II-III),zero_dice_rate,23,7,0.043478260869565216,5185.0,0.0,0.25
lraspp_mobilenetv3,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
lraspp_mobilenetv3,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
lraspp_mobilenetv3,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
lraspp_mobilenetv3,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
lraspp_mobilenetv3,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
lraspp_mobilenetv3,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
lraspp_mobilenetv3,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
lraspp_mobilenetv3,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
lraspp_mobilenetv3,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
lraspp_mobilenetv3_b2kd,all,Light (II-III),zero_dice_rate,39,9,0.02564102564102564,8085.0,0.0,0.10260416666666608
lraspp_mobilenetv3_b2kd,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
lraspp_mobilenetv3_b2kd,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
lraspp_mobilenetv3_b2kd,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
lraspp_mobilenetv3_b2kd,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D1_D4,Light (II-III),zero_dice_rate,23,7,0.043478260869565216,5185.0,0.0,0.15789473684210525
lraspp_mobilenetv3_b2kd,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
lraspp_mobilenetv3_b2kd,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
lraspp_mobilenetv3_b2kd,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
lraspp_mobilenetv3_b2kd,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
lraspp_mobilenetv3_b2kd,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
lraspp_mobilenetv3_distilled,all,Light (II-III),zero_dice_rate,39,9,0.05128205128205128,8085.0,0.0,0.18518518518518517
lraspp_mobilenetv3_distilled,all,Intermediate (III-IV),zero_dice_rate,38,17,0.02631578947368421,12117.5,0.0,0.1
lraspp_mobilenetv3_distilled,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
lraspp_mobilenetv3_distilled,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
lraspp_mobilenetv3_distilled,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
lraspp_mobilenetv3_distilled,D1_D4,Light (II-III),zero_dice_rate,23,7,0.08695652173913043,5185.0,0.0,0.3076923076923077
lraspp_mobilenetv3_distilled,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.07692307692307693,6059.0,0.0,0.2727272727272727
lraspp_mobilenetv3_distilled,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
lraspp_mobilenetv3_distilled,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
lraspp_mobilenetv3_distilled,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
lraspp_mobilenetv3_distilled,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
lraspp_mobilenetv3_distilled,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
lraspp_mobilenetv3_distilled,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
lraspp_mobilenetv3_distilled,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
lraspp_mobilenetv3_distilled,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
topformer_tiny,all,Light (II-III),zero_dice_rate,39,9,0.07692307692307693,8085.0,0.0,0.2727272727272727
topformer_tiny,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
topformer_tiny,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
topformer_tiny,all,Brown (V),zero_dice_rate,29,12,0.034482758620689655,10961.0,0.0,0.13043478260869565
topformer_tiny,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
topformer_tiny,D1_D4,Light (II-III),zero_dice_rate,23,7,0.13043478260869565,5185.0,0.0,0.42857142857142855
topformer_tiny,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
topformer_tiny,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
topformer_tiny,D1_D4,Brown (V),zero_dice_rate,12,3,0.08333333333333333,5963.0,,
topformer_tiny,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
topformer_tiny,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
topformer_tiny,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
topformer_tiny,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
topformer_tiny,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
topformer_tiny,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
topformer_tiny_b2kd,all,Light (II-III),zero_dice_rate,39,9,0.02564102564102564,8085.0,0.0,0.125
topformer_tiny_b2kd,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
topformer_tiny_b2kd,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
topformer_tiny_b2kd,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
topformer_tiny_b2kd,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
topformer_tiny_b2kd,D1_D4,Light (II-III),zero_dice_rate,23,7,0.043478260869565216,5185.0,0.0,0.25
topformer_tiny_b2kd,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
topformer_tiny_b2kd,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
topformer_tiny_b2kd,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
topformer_tiny_b2kd,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
topformer_tiny_b2kd,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
topformer_tiny_b2kd,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
topformer_tiny_b2kd,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
topformer_tiny_b2kd,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
topformer_tiny_b2kd,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
ppmobileseg_tiny,all,Light (II-III),zero_dice_rate,39,9,0.07692307692307693,8085.0,0.0,0.19047619047619047
ppmobileseg_tiny,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
ppmobileseg_tiny,all,Tan (IV),zero_dice_rate,24,15,0.041666666666666664,13550.0,0.0,0.13333333333333333
ppmobileseg_tiny,all,Brown (V),zero_dice_rate,29,12,0.06896551724137931,10961.0,0.0,0.15151515151515152
ppmobileseg_tiny,all,Dark (VI),zero_dice_rate,55,15,0.01818181818181818,13751.0,0.0,0.075
ppmobileseg_tiny,D1_D4,Light (II-III),zero_dice_rate,23,7,0.13043478260869565,5185.0,0.041666666666666664,0.3076923076923077
ppmobileseg_tiny,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
ppmobileseg_tiny,D1_D4,Tan (IV),zero_dice_rate,8,4,0.125,5837.5,,
ppmobileseg_tiny,D1_D4,Brown (V),zero_dice_rate,12,3,0.16666666666666666,5963.0,,
ppmobileseg_tiny,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
ppmobileseg_tiny,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
ppmobileseg_tiny,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
