model,all_n,all_median_dice,all_mean_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,D1_D4_n,D1_D4_median_dice,D1_D4_mean_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_n,D1_median_dice,D1_mean_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,all_wrong_place_n,D1_D4_wrong_place_n
ppmobileseg_tiny_distilled,185,0.7550700280112045,0.6891336426271606,0.6705828006807754,0.8021491184767963,4,0.021621621621621623,3,74,0.7160345803353481,0.6453458999930535,0.6555761273374638,0.7553250095767255,4,0.05405405405405406,3,19,0.6894578313253013,0.6433334980428371,0.7001810736612203,0.7296726915787691,0,0.0,0,1,1
yolo_sem_distilled,185,0.8011545122185877,0.7260703223271405,0.6777021235548835,0.8646861382519789,5,0.02702702702702703,4,74,0.8079927059878655,0.7222980368387497,0.7162617107162417,0.7940347451080022,4,0.05405405405405406,3,19,0.7843463780183181,0.6324490893208423,0.6370705003270306,0.7488404633879407,3,0.15789473684210525,2,1,1
deeplabv3plus_r50,185,0.8183441196161572,0.7583768558852945,0.7093539701147743,0.8863344814183834,5,0.02702702702702703,4,74,0.8277372480551926,0.7308428695278824,0.6894165314257563,0.8849602711108705,5,0.06756756756756757,4,19,0.7982905982905983,0.6923365797552394,0.7023106160547826,0.8202350142284943,3,0.15789473684210525,2,1,1
fastscnn_b2kd,185,0.7036633528530574,0.6504153810601941,0.6416405081139791,0.7378205108004092,6,0.032432432432432434,2,74,0.7022203047081808,0.6033242804924299,0.6336565090010824,0.6542753843171932,5,0.06756756756756757,2,19,0.6635119580509017,0.5394446644898594,0.5774517152798938,0.5543799429225235,1,0.05263157894736842,0,4,3
fastscnn_rgkd,185,0.694188051526524,0.6417204511263176,0.6134937749966201,0.7333943158504187,6,0.032432432432432434,1,74,0.702885750915324,0.5997004431170456,0.6174458945985578,0.6394559241014933,6,0.08108108108108109,1,19,0.5993649113522096,0.47864475775758797,0.5306618411039623,0.5044015411715858,4,0.21052631578947367,1,5,5
unet_r50,185,0.8328752309286712,0.7570133121939514,0.7397248380443511,0.8587960544472429,7,0.03783783783783784,7,74,0.8358802069489881,0.7199381567656483,0.718743121393039,0.8637039807831578,6,0.08108108108108109,6,19,0.8037739115381286,0.6437767616579194,0.6612455735829312,0.8736670334479212,3,0.15789473684210525,3,0,0
ppmobileseg_tiny,185,0.7192631157388867,0.6483675371996476,0.608278370774066,0.8138254278157313,7,0.03783783783783784,6,74,0.7085806787324963,0.5885120249266985,0.5806670476504918,0.7849598739832396,6,0.08108108108108109,5,19,0.7424369045629283,0.5977016810355231,0.6041721613807981,0.7923278605685656,1,0.05263157894736842,1,1,1
fastscnn,185,0.6773183774618495,0.6381202346413283,0.6063181942594599,0.7628086307513937,7,0.03783783783783784,4,74,0.6546533614967591,0.5842095335926821,0.5845032112190099,0.7002327119267685,6,0.08108108108108109,4,19,0.624374278013092,0.5135920087742296,0.5545305369747865,0.6284480834320397,3,0.15789473684210525,2,3,2
ppmobileseg_tiny_rgkd,185,0.7329012069736254,0.6781858246008604,0.6566035988862814,0.7933039040144768,7,0.03783783783783784,5,74,0.7120138215550602,0.6180291949745433,0.6166280813164511,0.7552212827492202,7,0.0945945945945946,5,19,0.6370093457943925,0.569529460779479,0.5710935938437088,0.7871411479038694,3,0.15789473684210525,2,2,2
fastscnn_distilled,185,0.7229998409416256,0.6327557810217977,0.6081989305748913,0.7758049603555827,13,0.07027027027027027,8,74,0.7043282596368783,0.5834688386807972,0.5795874600719555,0.713387786001232,8,0.10810810810810811,5,19,0.5673011556764106,0.4828256689080252,0.4514185518843172,0.7084898648387867,4,0.21052631578947367,2,5,3
yolo_sem_direct,185,0.8060514666536946,0.7021261834301191,0.6697391876238268,0.8782691404520195,12,0.06486486486486487,12,74,0.7786552334231376,0.6455512549955459,0.6225093172751022,0.8669128598882115,10,0.13513513513513514,10,19,0.6806380982170785,0.4946588308981946,0.4720019492852875,0.9049962088373683,6,0.3157894736842105,6,0,0
