model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
lraspp_mobilenetv3_b2kd,D8,8,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D1,7,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D7,11,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D4,13,18,2,2,0,0.1111111111111111,0.1111111111111111,0.0
lraspp_mobilenetv3_distilled,D9,10,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D6,13,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D10,10,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D5,12,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D3,9,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D2,8,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D8,8,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
topformer_tiny,D7,11,18,0,0,0,0.0,0.0,0.0
topformer_tiny,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
topformer_tiny,D9,10,18,0,0,0,0.0,0.0,0.0
topformer_tiny,D6,13,18,0,0,0,0.0,0.0,0.0
topformer_tiny,D10,10,19,0,0,0,0.0,0.0,0.0
topformer_tiny,D5,12,19,0,0,0,0.0,0.0,0.0
topformer_tiny,D3,9,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
topformer_tiny,D2,8,18,0,0,0,0.0,0.0,0.0
topformer_tiny,D8,8,19,0,0,0,0.0,0.0,0.0
topformer_tiny,D1,7,19,2,2,0,0.10526315789473684,0.10526315789473684,0.0
topformer_tiny_b2kd,D7,11,18,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D4,13,18,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D9,10,18,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D6,13,18,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D10,10,19,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D5,12,19,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D3,9,19,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D2,8,18,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D8,8,19,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
ppmobileseg_tiny,D7,11,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
ppmobileseg_tiny,D4,13,18,2,2,0,0.1111111111111111,0.1111111111111111,0.0
ppmobileseg_tiny,D9,10,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny,D6,13,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny,D10,10,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny,D5,12,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny,D3,9,19,2,2,0,0.10526315789473684,0.10526315789473684,0.0
ppmobileseg_tiny,D2,8,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
ppmobileseg_tiny,D8,8,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny,D1,7,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
ppmobileseg_tiny_b2kd,D7,11,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D4,13,18,2,2,0,0.1111111111111111,0.1111111111111111,0.0
ppmobileseg_tiny_b2kd,D9,10,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D6,13,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D10,10,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D5,12,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D3,9,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
ppmobileseg_tiny_b2kd,D2,8,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
ppmobileseg_tiny_b2kd,D8,8,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,D1,7,19,0,0,0,0.0,0.0,0.0
fastscnn,D7,11,18,0,0,0,0.0,0.0,0.0
fastscnn,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
fastscnn,D9,10,18,0,0,0,0.0,0.0,0.0
fastscnn,D6,13,18,0,0,0,0.0,0.0,0.0
