model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
segformer_b0_direct,D1,4071.0,19,0.8274080014256437,0.6971094580647401,0.7781378351225472,0.7239958717870071,1,0.05263157894736842,1
segformer_b0_direct,D2,5445.5,18,0.8546367816023197,0.7934559245713723,0.7861856545740104,0.8351782618386395,0,0.0,0
segformer_b0_direct,D3,6686.0,19,0.7567969589290141,0.7393022874879887,0.700173763361321,0.7979936098711905,0,0.0,0
segformer_b0_direct,D4,8665.5,18,0.807428321265062,0.7981807940147168,0.7378340449649375,0.8869010253950833,0,0.0,0
segformer_b0_direct,D5,10622.0,19,0.8172509790968716,0.7925256601132995,0.7453887392497274,0.8787305626191523,0,0.0,0
segformer_b0_direct,D6,11957.5,18,0.8245790960681914,0.8009444648128716,0.7498947509924009,0.9122362752680906,0,0.0,0
segformer_b0_direct,D7,13841.0,18,0.809993243031073,0.7600825661401887,0.6996327850606066,0.8745835079933231,0,0.0,0
segformer_b0_direct,D8,15506.0,19,0.8419343696027634,0.7857813748468839,0.7317943137880744,0.8859679210358214,0,0.0,0
segformer_b0_direct,D9,19152.0,18,0.8219693250982145,0.8101424010193378,0.7563227374737761,0.898202162398315,0,0.0,0
segformer_b0_direct,D10,31415.0,19,0.6852963375624483,0.6925590380424997,0.5895886517329787,0.9106423778809977,0,0.0,0
segformer_b0_rgkd,D1,4071.0,19,0.8143867924528302,0.6624999634791596,0.6730771126282079,0.7383962358780707,2,0.10526315789473684,1
segformer_b0_rgkd,D2,5445.5,18,0.8309852130724055,0.7735387440548875,0.7600824820985581,0.817187522853367,0,0.0,0
segformer_b0_rgkd,D3,6686.0,19,0.7572315035799523,0.7248669637145939,0.6735731178706139,0.7997193749801577,0,0.0,0
segformer_b0_rgkd,D4,8665.5,18,0.8298246103178207,0.8254647074366492,0.7739011664673199,0.8994122377793686,0,0.0,0
segformer_b0_rgkd,D5,10622.0,19,0.7828839522921259,0.7531622381570496,0.7082439781708062,0.8651797583943699,0,0.0,0
segformer_b0_rgkd,D6,11957.5,18,0.8421636591289512,0.8039321073733353,0.7440104605422942,0.9158213135161934,0,0.0,0
segformer_b0_rgkd,D7,13841.0,18,0.8074661756779199,0.7642840963990205,0.699595753030841,0.8748050403156296,0,0.0,0
segformer_b0_rgkd,D8,15506.0,19,0.830036250647333,0.8069419199155401,0.7725481062796634,0.8785227629422774,0,0.0,0
segformer_b0_rgkd,D9,19152.0,18,0.8422161459914583,0.8128374379854856,0.7926464098338724,0.8576891266766336,0,0.0,0
segformer_b0_rgkd,D10,31415.0,19,0.7903202642539136,0.7361412426698412,0.6601939348578817,0.8728936243232476,0,0.0,0
unet_r50,D1,4071.0,19,0.8037739115381286,0.6437767616579194,0.6612455735829312,0.8736670334479212,3,0.15789473684210525,3
unet_r50,D2,5445.5,18,0.8772543898696978,0.8243622478150469,0.8124000895046936,0.8905639224758656,0,0.0,0
unet_r50,D3,6686.0,19,0.8517376681614349,0.6790291391184877,0.6716998136077404,0.8441507594398723,2,0.10526315789473684,2
unet_r50,D4,8665.5,18,0.7995363007661189,0.7390883902908548,0.7354348341876467,0.8469669949177784,1,0.05555555555555555,1
unet_r50,D5,10622.0,19,0.7880454712137881,0.7554087391580355,0.7300382352011386,0.8629781104936577,1,0.05263157894736842,1
unet_r50,D6,11957.5,18,0.8507788367147142,0.792166144833432,0.7512084127275366,0.8990901963538085,0,0.0,0
unet_r50,D7,13841.0,18,0.7846874484724188,0.7760306204446579,0.7359568504969053,0.8515425283557688,0,0.0,0
unet_r50,D8,15506.0,19,0.868421052631579,0.8013547054474986,0.79833983634518,0.8290850330516708,0,0.0,0
unet_r50,D9,19152.0,18,0.8356121240997088,0.8092413335400809,0.798062714613722,0.8339287696982991,0,0.0,0
